RK,YEAR,PLAYER,TEAM,CONF,MIN%,TS,OR,DR,AST,TO,BLK,STL,FTR,AST,REB,PTS
138,Fr,AJ Casey,Miami FL,ACC,13.5,44,7.8,12.8,4.3,9.7,3.7,0.3,48,0.2,1.2,1
139,Sr,Francisco Caffaro,Virginia,ACC,12.9,70,12,14.5,4.7,24.5,0.8,0.4,90,0.2,1.8,2
140,Fr,De'Ante Green,Florida St.,ACC,11.8,62.6,3.2,15.2,2.5,27.5,2.3,0.8,41.7,0.1,1,1.5
141,Fr,Tyler Nickel,North Carolina,ACC,11.2,53,6.7,5.2,8.6,6.7,2,1.2,47.5,0.3,0.6,2.1
142,Jr,John Hugley IV,Pittsburgh,ACC,11.1,57.2,10.5,12.2,8.1,25.3,4.7,1.2,45.7,0.8,3.6,8
143,Fr,Fabio Basili,Louisville,ACC,11,33.5,4.4,15.5,14.5,24.3,0.8,3.8,18.9,0.6,1.4,1.6
144,So,Matt Zona,Notre Dame,ACC,10.7,62,5.2,19.3,6.8,21.8,3.2,0.4,11.5,0.3,1.4,1.7
145,So,Lucas Taylor,Wake Forest,ACC,10.6,40.6,0.9,8.9,15.5,22.2,1.5,1.6,0,1.1,1,2.2
146,Fr,Rodney Rice,Virginia Tech,ACC,10.1,50.3,0.9,16.6,7.9,13.1,1.6,2.7,22.2,0.9,2.9,7.1
SHOW 100 MORE,,,,,,,,,,,,,,,,
SHOW CHART,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
